Time,Float_V,Q10_V,Q20_V
0,-65.3,-65.6943,-65.3
0.1,-65.5936,-66.3809,-65.5937
0.2,-65.8803,-67.0566,-65.8804
0.3,-66.1596,-67.7178,-66.1597
0.4,-66.431,-68.3613,-66.431
0.5,-66.694,-68.9844,-66.6941
0.6,-66.9485,-69.585,-66.9486
0.7,-67.1941,-70.1602,-67.1942
0.8,-67.4306,-70.709,-67.4308
0.9,-67.658,-71.2305,-67.6581
1,-67.8761,-71.7236,-67.8762
1.1,-68.0849,-72.1875,-68.085
1.2,-68.2844,-72.6221,-68.2845
1.3,-68.4747,-73.0283,-68.4749
1.4,-68.6559,-73.4062,-68.6561
1.5,-68.8282,-73.7568,-68.8284
1.6,-68.9918,-74.0811,-68.992
1.7,-69.1468,-74.3799,-69.147
1.8,-69.2935,-74.6543,-69.2937
1.9,-69.4322,-74.9062,-69.4324
2,-69.5631,-75.1367,-69.5633
2.1,-69.6865,-75.3467,-69.6867
2.2,-69.8026,-75.5381,-69.8029
2.3,-69.9119,-75.7119,-69.9121
2.4,-70.0145,-75.8691,-70.0148
2.5,-70.1109,-76.0117,-70.1111
2.6,-70.2012,-76.1406,-70.2014
2.7,-70.2857,-76.2568,-70.286
2.8,-70.3649,-76.3613,-70.3651
2.9,-70.4388,-76.4561,-70.4391
3,-70.5079,-76.541,-70.5082
3.1,-70.5724,-76.6172,-70.5726
3.2,-70.6325,-76.6855,-70.6328
3.3,-70.6885,-76.7461,-70.6888
3.4,-70.7406,-76.8008,-70.7409
3.5,-70.7891,-76.8496,-70.7894
3.6,-70.8342,-76.8926,-70.8344
3.7,-70.876,-76.9307,-70.8763
3.8,-70.9148,-76.9648,-70.9151
3.9,-70.9508,-76.9951,-70.9511
4,-70.9842,-77.0215,-70.9844
4.1,-71.015,-77.0449,-71.0153
4.2,-71.0436,-77.0654,-71.0438
4.3,-71.0699,-77.083,-71.0702
4.4,-71.0942,-77.0986,-71.0945
4.5,-71.1167,-77.1123,-71.1169
4.6,-71.1373,-77.124,-71.1375
4.7,-71.1563,-77.1338,-71.1565
4.8,-71.1737,-77.1426,-71.174
4.9,-71.1898,-77.1494,-71.19
5,-71.2044,-77.1553,-71.2047
5.1,-71.2178,-77.1602,-71.2181
5.2,-71.2301,-77.1641,-71.2303
5.3,-71.2412,-77.167,-71.2415
5.4,-71.2514,-77.1689,-71.2516
5.5,-71.2606,-77.1699,-71.2608
5.6,-71.2689,-77.1709,-71.2692
5.7,-71.2765,-77.1709,-71.2767
5.8,-71.2832,-77.1709,-71.2835
5.9,-71.2893,-77.1699,-71.2895
6,-71.2947,-77.1689,-71.2949
6.1,-71.2995,-77.168,-71.2997
6.2,-71.3037,-77.166,-71.3039
6.3,-71.3074,-77.1641,-71.3076
6.4,-71.3106,-77.1621,-71.3108
6.5,-71.3133,-77.1592,-71.3136
6.6,-71.3157,-77.1562,-71.3159
6.7,-71.3176,-77.1533,-71.3178
6.8,-71.3192,-77.1504,-71.3194
6.9,-71.3204,-77.1465,-71.3206
7,-71.3213,-77.1426,-71.3215
7.1,-71.3219,-77.1387,-71.3222
7.2,-71.3223,-77.1348,-71.3225
7.3,-71.3224,-77.1309,-71.3226
7.4,-71.3222,-77.127,-71.3225
7.5,-71.3219,-77.123,-71.3221
7.6,-71.3214,-77.1191,-71.3216
7.7,-71.3206,-77.1152,-71.3209
7.8,-71.3197,-77.1113,-71.32
7.9,-71.3186,-77.1074,-71.3189
8,-71.3174,-77.1025,-71.3177
8.1,-71.3161,-77.0977,-71.3163
